,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611
Murnau Bahnhof abfahrt,06:16:00,06:40:00,06:40:00,06:55:00,,08:35:00,08:40:00,,09:35:00,10:35:00,11:34:00,11:35:00,12:05:00,12:15:00,,12:20:00,12:34:00,13:02:00,13:05:00,13:35:00,13:52:00,13:52:00,14:34:00,14:40:00,15:15:00,15:35:00,16:00:00,,16:34:00,17:35:00,18:34:00,19:06:00,07:35:00,10:05:00,12:35:00,15:00:00,16:05:00
Murnau Weindorfer Str. 2,,,,,,,,,,,,11:40:00,,12:20:00,12:20:00,,,13:07:00,13:10:00,,,,14:39:00,,,15:25:00,,,,,,,,,,,
Murnau Sollerstr. 2,,,,,07:46:00,,,,,,,11:42:00,,12:22:00,12:22:00,,,13:09:00,13:12:00,,,,14:40:00,,,15:28:00,,,,,,,,,,,
Murnau Grundschule 2,,,,,,,,,,,,11:45:00,,12:25:00,,,,13:12:00,,,,,,,,,,,,,,,,,,,
Murnau UKM/Schwaigangerstr. 2,,,,,,,,,,,,11:47:00,,12:27:00,,,,13:16:00,,,,,,,,,,,,,,,,,,,
Murnau Postamt 2,06:18:00,06:42:00,06:43:00,06:57:00,,08:37:00,08:43:00,,09:37:00,10:37:00,11:36:00,,12:09:00,,,12:24:00,12:36:00,,,13:37:00,13:54:00,,14:45:00,14:42:00,15:18:00,15:38:00,16:02:00,,16:37:00,17:37:00,18:36:00,19:08:00,07:37:00,10:07:00,12:37:00,15:02:00,16:05:00
Murnau Burggraben 2,06:19:00,06:43:00,06:45:00,06:59:00,,08:38:00,08:45:00,,09:39:00,10:39:00,11:37:00,,12:10:00,,,12:25:00,12:38:00,,,13:38:00,13:56:00,,14:47:00,14:43:00,15:19:00,15:39:00,16:04:00,,16:39:00,17:38:00,18:37:00,19:10:00,07:39:00,10:09:00,12:39:00,15:04:00,16:05:00
Murnau Seidlstraße 2,,,06:46:00,07:01:00,,,08:47:00,,09:41:00,,,11:50:00,12:12:00,12:30:00,,12:27:00,,13:19:00,,,13:58:00,14:04:00,14:49:00,,,,,,16:41:00,,,19:12:00,,10:11:00,,15:06:00,
Murnau Kreiskrankenhaus 2,,,06:47:00,07:02:00,,,08:48:00,,09:42:00,,,11:48:00,12:13:00,12:28:00,,12:28:00,,13:17:00,,,13:59:00,14:05:00,14:50:00,,,,,,16:42:00,,,19:13:00,,10:12:00,,15:07:00,
Murnau Unfallklinik 2,,,06:48:00,07:03:00,07:49:00,,08:49:00,,09:43:00,,,,12:14:00,,12:25:00,12:29:00,,,13:15:00,,14:00:00,14:06:00,14:51:00,,,,,,16:43:00,,,19:14:00,,10:13:00,,15:08:00,
Abzw. Mühlhagen 2,,,06:49:00,07:04:00,07:50:00,,08:50:00,,09:44:00,,,,12:15:00,,12:26:00,12:30:00,,,13:16:00,,14:01:00,14:07:00,14:52:00,,,,,,16:44:00,,,19:15:00,,10:14:00,,15:09:00,
Achrain 2,,,06:50:00,07:05:00,07:51:00,,08:51:00,,09:45:00,,,,12:16:00,,12:27:00,12:31:00,,,13:17:00,,14:02:00,14:08:00,14:53:00,,,,,,16:45:00,,,19:16:00,,10:15:00,,15:10:00,
Schwaiganger Abzw. Ohlstadt 2,,,,,,,08:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hechendorf Nord 2,06:22:00,06:46:00,,,,08:41:00,,,,10:42:00,11:40:00,11:52:00,,12:32:00,,,12:41:00,13:22:00,,13:41:00,,13:59:00,,14:46:00,15:22:00,15:42:00,16:07:00,,,17:41:00,18:40:00,,07:42:00,,12:42:00,,17:00:00
Hechendorf Gasthof Salcher 2,06:23:00,06:47:00,,,,08:42:00,,,,10:43:00,11:41:00,11:53:00,,12:33:00,,,12:42:00,13:23:00,,13:42:00,,14:00:00,,14:47:00,15:23:00,15:43:00,16:08:00,,,17:42:00,18:41:00,,07:43:00,,12:43:00,,17:00:00
Hechendorf Süd 2,06:24:00,06:48:00,,,,08:43:00,,,,10:44:00,11:42:00,11:55:00,,12:35:00,,,12:43:00,13:25:00,,13:43:00,,14:01:00,,14:48:00,15:24:00,15:44:00,16:09:00,,,17:43:00,18:42:00,,07:44:00,,12:44:00,,17:00:00
Ohlstadt Abzw. Bahnhof 2,06:29:00,06:53:00,,,,08:48:00,,,,10:49:00,11:47:00,12:01:00,,12:41:00,,,12:48:00,13:31:00,,13:48:00,,,,14:53:00,15:29:00,15:49:00,16:14:00,,,17:48:00,18:47:00,,07:49:00,,12:49:00,,17:00:00
Ohlstadt Ortsmitte 2,06:31:00,06:55:00,,,,08:50:00,08:55:00,,,10:51:00,11:49:00,12:03:00,,12:43:00,,,12:50:00,13:34:00,,13:50:00,,,,14:55:00,15:31:00,15:51:00,16:16:00,,,17:50:00,18:49:00,,07:51:00,,12:51:00,,17:01:00
Schwaiganger Abzw. Ohlstadt 2,06:34:00,06:58:00,,,,08:53:00,,,,10:54:00,,,,,,,,,,,,,,,15:33:00,15:53:00,16:19:00,,,17:53:00,18:52:00,,07:54:00,,12:54:00,,17:01:00
Schwaiganger 2,06:35:00,06:59:00,06:51:00,07:06:00,07:52:00,08:54:00,,,09:46:00,10:55:00,,,12:17:00,,12:28:00,12:32:00,,,13:18:00,,14:03:00,14:09:00,14:54:00,,15:34:00,15:54:00,16:20:00,,16:46:00,17:54:00,18:53:00,19:17:00,07:55:00,10:16:00,12:55:00,15:11:00,17:01:00
Abzw. Kreuth 2,06:36:00,07:00:00,,07:07:00,07:53:00,08:55:00,,,09:47:00,10:57:00,,,12:18:00,,12:29:00,12:33:00,,,13:19:00,,14:05:00,14:10:00,14:56:00,,15:35:00,15:55:00,16:21:00,,16:48:00,17:55:00,18:54:00,19:18:00,07:56:00,10:18:00,12:56:00,15:13:00,17:01:00
Abzw. Glentleiten 2,06:37:00,07:01:00,,07:08:00,07:54:00,08:56:00,,,09:48:00,10:58:00,,,12:19:00,,12:30:00,12:34:00,,,13:20:00,,14:06:00,14:11:00,14:57:00,,15:36:00,15:56:00,16:22:00,,16:49:00,17:56:00,18:55:00,19:19:00,07:57:00,10:19:00,12:57:00,15:14:00,17:01:00
Großweil Bergwerk 2,06:38:00,07:02:00,06:54:00,07:09:00,07:55:00,08:57:00,,,09:49:00,11:00:00,,,12:20:00,,12:31:00,12:35:00,,,13:21:00,,14:08:00,14:12:00,14:59:00,,15:38:00,15:58:00,16:23:00,,16:51:00,17:57:00,18:56:00,19:20:00,07:58:00,10:21:00,12:58:00,15:16:00,17:01:00
Großweil Schule 2,,,,,,,, ,09:50:00,11:01:00,,,,,,,,,13:22:00,,14:09:00,,,,15:39:00,15:59:00,16:24:00,,,,,,,10:22:00,12:59:00,15:17:00,17:01:00
Glentleiten Freilichtmuseum 2,,,,,,,, ,09:52:00,11:03:00,,,,,,,,,13:24:00,,14:11:00,,,,15:41:00,16:01:00,16:26:00,16:27:00,,,,,,10:24:00,13:01:00,15:19:00,17:02:00
Großweil Rathaus 2,06:40:00,07:04:00,06:55:00,07:11:00,07:57:00,08:59:00,,,09:56:00,11:07:00,,,12:22:00,,12:33:00,12:37:00,,,13:28:00,,14:15:00,14:13:00,15:00:00,,15:45:00,16:05:00,16:30:00,16:31:00,16:53:00,17:59:00,18:58:00,19:22:00,07:59:00,10:28:00,13:05:00,15:23:00,17:02:00
Schlehdorf Post 2,06:43:00,07:07:00,07:00:00,07:14:00,08:00:00,09:02:00,,,09:59:00,11:10:00,,,12:25:00,,12:37:00,12:40:00,,,13:31:00,,14:18:00,14:16:00,15:03:00,,15:48:00,16:08:00,16:33:00,16:34:00,16:56:00,18:02:00,19:01:00,19:25:00,08:02:00,10:31:00,13:08:00,15:26:00,17:02:00
Kochel Loisachbrücke (Trimini) 2,06:46:00,,,07:17:00,08:04:00,09:05:00,,,10:02:00,11:13:00,,,,,,12:43:00,,,13:35:00,,14:21:00,14:19:00,15:06:00,,15:51:00,16:11:00,16:36:00,16:37:00,16:59:00,18:05:00,19:04:00,19:28:00,08:05:00,10:34:00,13:11:00,15:29:00,17:03:00
